Snap Date,Dep Date,Return Date,Dep time,Dep Time,Dep Duration,From,Back time,Back Comp,Stops,Back Duration,Back Arrival,Stops,Dep Airport,Back Airport,Price,Class
2025-03-04,2025-03-05,2025-03-07,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$108,Economy
2025-03-04,2025-03-05,2025-03-07,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$119,Economy
2025-03-04,2025-03-05,2025-03-07,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$114,Economy
2025-03-04,2025-03-05,2025-03-07,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,5:55 pm – 5:55 pm,easyJet,nonstop,1h 00m,CDG,LGW,$129,Economy
2025-03-04,2025-03-05,2025-03-07,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$117,Economy
2025-03-04,2025-03-05,2025-03-07,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,1:40 pm – 1:45 pm,easyJet,nonstop,1h 05m,CDG,SEN,$127,Economy
2025-03-04,2025-03-05,2025-03-07,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$129,Economy
2025-03-04,2025-03-05,2025-03-07,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$123,Economy
2025-03-04,2025-03-05,2025-03-07,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:30 pm – 2:45 pm,easyJet,nonstop,1h 15m,CDG,LTN,$119,Economy
2025-03-04,2025-03-05,2025-03-07,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,5:00 pm – 5:15 pm,easyJet,nonstop,1h 15m,CDG,LTN,$119,Economy
2025-03-04,2025-03-05,2025-03-07,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,5:55 pm – 5:55 pm,easyJet,nonstop,1h 00m,CDG,LGW,$143,Economy
2025-03-04,2025-03-05,2025-03-07,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,1:40 pm – 1:45 pm,easyJet,nonstop,1h 05m,CDG,SEN,$136,Economy
2025-03-04,2025-03-05,2025-03-07,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$130,Economy
2025-03-04,2025-03-05,2025-03-07,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,5:55 pm – 5:55 pm,easyJet,nonstop,1h 00m,CDG,LGW,$155,Economy
2025-03-04,2025-03-05,2025-03-07,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$142,Economy
2025-03-04,2025-03-05,2025-03-07,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,1:40 pm – 1:45 pm,easyJet,nonstop,1h 05m,CDG,SEN,$143,Economy
2025-03-04,2025-03-05,2025-03-07,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,5:00 pm – 5:15 pm,easyJet,nonstop,1h 15m,CDG,LTN,$128,Economy
2025-03-04,2025-03-05,2025-03-07,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:30 pm – 2:45 pm,easyJet,nonstop,1h 15m,CDG,LTN,$128,Economy
2025-03-04,2025-03-05,2025-03-07,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$143,Economy
2025-03-04,2025-03-05,2025-03-07,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$136,Economy
2025-03-04,2025-03-05,2025-03-07,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,5:00 pm – 5:15 pm,easyJet,nonstop,1h 15m,CDG,LTN,$129,Economy
2025-03-04,2025-03-05,2025-03-07,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,2:30 pm – 2:45 pm,easyJet,nonstop,1h 15m,CDG,LTN,$129,Economy
2025-03-04,2025-03-05,2025-03-07,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,1:40 pm – 1:45 pm,easyJet,nonstop,1h 05m,CDG,SEN,$174,Economy
2025-03-04,2025-03-05,2025-03-07,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$155,Economy
